MEAN,MEDIAN,STANDARD_DEVIATION,STRENGTH
117.9399033,115,23.81282999,4.2
122.8223805,125,17.64387944,4.71
119.8505225,121,15.44642394,3.904
111.6112747,112,16.89608183,5.42
128.0463241,125,19.45705166,4.4
125.2608165,127,15.98814606,5.461
108.3855956,107,19.70661577,4.828
124.0174912,123,27.10665568,6.46
125.9159125,124,24.67138039,6.32
129.8348657,129,25.31363653,4.26
114.9641632,116,13.01986689,5.31
130.3394428,134,34.30638725,6.887
134.1870361,133,22.37731537,7.22
131.4895042,132,24.47610403,5.33
125.286178,126,18.8891658,6.89
140.9168664,137,28.09824904,3.57
142.1525452,140,30.01736211,4.81
134.7576522,134,25.6888455,5.76
120.3280186,122,25.12257976,4.809
132.157524,132,23.205439,4.2194
133.6569583,132,26.65825507,4.868
133.4650697,134,19.99131065,4.3964
152.4275818,153,32.38854489,3.93
139.6914846,141,17.74011952,4.656
143.673883,144,24.10777862,4.24
149.2943651,152,17.53835009,2.88
138.5864653,140,19.27212438,4.514
139.4475297,138,27.29617561,4.06
147.77966,150,21.14406233,4.89
148.5717395,150,17.4683726,3.84
143.2489991,147,17.98361134,4.774
137.9691246,139,17.61835018,4.715
148.0807461,149,14.99801194,4.636
150.4482238,153,15.62986783,3.75
148.9141211,151,14.59213824,3.943
147.1992272,148,24.2747256,4.75
154.1122669,155,12.67530072,4.75
143.5473057,146,18.82917431,4.479
149.0464048,150,18.97939311,5.045
152.4852448,157,20.38441459,4.84
148.1589796,148,20.76781617,5.95
161.2564966,165,17.73544643,4.833
147.3518937,150,15.37255159,4.302
145.6210109,145,19.84545855,4.774
156.4958149,158,22.28109696,4.054
158.9366804,159,22.32774505,4.302
150.6350847,152,25.04998441,5.045
174.1460281,181,33.22277399,4.479
157.9111097,159,16.75478491,4.302
150.099142,150,25.97629501,4.302
167.309027,169,32.57995873,4.479
149.8317568,151,23.4646681,4.597
152.9091297,154,20.70967616,4.302
153.1119894,153,24.63400305,4.302
152.351137,152,27.15946977,4.597
140.5191323,142,19.0700406,4.656
159.6931118,159,29.63116466,4.302
153.829803,154,25.39524083,4.656
172.208855,176,29.0130375,4.774
143.3611572,145,15.12460372,4.302
141.2185378,142,12.05523384,4.833
144.5823326,147,15.09455453,4.302
145.8942655,148,14.82236097,4.597
134.2299086,132,30.96525675,4.302
159.6243029,160,27.00373243,5.01
157.3386933,158,16.99250557,4.892
155.6888713,158,20.01183339,4.951
149.1137093,152,19.32282716,4.302
160.9963138,164,16.37001316,4.833
145.7907251,146,14.88006158,4.302
140.2936372,142,20.2945794,4.951
144.9824032,146,12.94448049,5.128
150.7524666,146,33.1530476,4.3374
147.5102552,149,32.81219409,4.302
146.3892827,147,21.61747329,4.302
150.3987178,152,22.47016687,4.361
152.9804085,155,31.23531321,5.246
135.3405623,136,24.07282335,3.83
144.4709516,143,21.6653107,4.951
141.367701,139,25.75999208,4.479
148.2183572,149,15.46724167,4.007
149.2549906,151,20.4206395,4.184
144.3051722,147,20.11038355,4.361
153.5129933,156,19.03857916,4.243
152.5756205,155,19.8832282,4.774
150.9476444,152,14.26885152,4.8684
143.9328592,143,26.6506697,4.302
153.9062414,156,14.33698052,4.5144
155.561948,158,17.10066964,4.361
145.975418,148,16.35752436,4.243
